url,title,author,license,date
https://www.flickr.com/photos/easy_rhino/6121070120/,Eye,Stu,CC BY-SA 2.0,
https://www.flickr.com/photos/troismarteaux/286602501/,eye,John Patrick Robichaud ,CC BY 2.0,
https://www.flickr.com/photos/randychiu/4302633525/,eye,randychiu,CC BY 2.0,
https://www.flickr.com/photos/wetwebwork/131052174/,Eye,wetwebwork,CC BY-SA 2.0,
https://www.flickr.com/photos/bigbadvoo/94345219/,Eye,Hunter Peddicord,CC BY 2.0,
https://www.flickr.com/photos/croweb/2876965326/,Eye,Ben Crowe,CC BY 2.0,
https://www.flickr.com/photos/hayliejaed/3371865346/,Eye,Haylie Jaed,CC BY 2.0,
https://www.flickr.com/photos/jbhill/2748260754/,Eye,J.B. Hill,CC BY 2.0,
https://www.flickr.com/photos/studiobeeldruis/2927314958/,eye,Arnoooo,CC BY-SA 2.0,
https://www.flickr.com/photos/matteomartinello/5985141545/,eye,Matteo Martinello,CC BY 2.0,
https://www.flickr.com/photos/neurotic_camel/961366107/,My eye,Elaine,CC BY 2.0,
https://www.flickr.com/photos/mustetahra/2990102416/,My eye,Ida,CC BY 2.0,
https://www.flickr.com/photos/emil_kabanov/6862586191/,Human eye,Emil .,CC BY-SA 2.0,
https://www.flickr.com/photos/mscaprikell/433609/,EYE SEA…,Kelly Cookson,CC BY-SA 2.0,
https://www.flickr.com/photos/evert-jan/121999492/,eye ai,Everjean,CC BY 2.0,
https://www.flickr.com/photos/ricardokba/407916971/,Green Eye,ricardokba,CC BY 2.0,
https://www.flickr.com/photos/114894128@N08/29052921385/,Wide awake.,Athanasia Stfn,CC BY-SA 2.0,
https://www.flickr.com/photos/92733600@N02/8429976452/,DAS EYE,Gustav Winther,CC BY-SA 2.0,
https://www.flickr.com/photos/11045073@N05/5566810537/,Cross-processed Eye.,Brett,CC BY 2.0,
https://www.flickr.com/photos/mike-burns/1155970175/,Sarah Stambaugh – eye,Mike Burns,CC BY-SA 2.0,
https://www.flickr.com/photos/joerg73/434045390/,my right eye,Jörg Weingrill,CC BY 2.0,
https://www.flickr.com/photos/teffcz/16681453346/,epic blue eye,Tomas Effenberger,CC BY-SA 2.0,
https://www.flickr.com/photos/orangeacid/249341740/,Amy´s eye,Dan Foy,CC BY 2.0,
https://www.flickr.com/photos/pandora_6666/1785281942/,my eye.jpg,Jo Naylor,CC BY 2.0,
https://www.flickr.com/photos/nathanmac87/5268101782/,Eye,nathanmac87,CC BY 2.0,
https://www.flickr.com/photos/milesgehm/16986357/,20050600 csp eye 2,Miles Gehm,CC BY 2.0,
https://www.flickr.com/photos/milesgehm/16986514/,20050600 csp eye 4 Rhy,Miles Gehm,CC BY 2.0,
https://www.flickr.com/photos/mjanicki/3511636204/,Closeup of my ese,Matt Janicki,CC BY 2.0,
